Time,WindSpeed
30,1.6196730525274288
31,1.2442686491492854
32,2.7118647247979046
33,2.2797028408100806
34,2.5354679397533233
35,2.0718015598718127
36,1.9324220058399233
37,2.743029798804263
38,2.055193958266829
39,1.9832021049096813
40,2.856201003317672
41,1.1761951605195375
42,1.2258490213817719
43,1.9875587042979317
44,2.6441450607641563
45,1.568428190812014
46,1.7250465636409331
47,2.256535101280522
48,2.0081602280384963
49,2.1013410024905324
50,2.4579378645827843
51,2.3096344450806368
52,2.9645598652789196
53,2.2034380795164963
54,1.429239002740627
55,2.6315093860427785
56,2.0700720682153335
57,2.787937126953413
58,2.025563132889368
59,2.0956515420016477
60,2.4337192840049315
61,1.965411523355964
62,2.1576828056981205
63,2.2421029517580315
64,2.051392362128339
65,2.019730817912698
